1, 0.1846, 0.0128, -0.0067, 0.0648, 0.2075, -0.0932, -0.3142, 0.1425, -0.149, -0.0932, 0.173, 0.0446, -0.1531, 0.1084, 0.1746, -0.1425, 0.1351, -0.0205, -0.1759, -0.0067, -0.1895, -0.1231, -0.2926, -0.0794, -0.2189, -0.101, -0.0475, 0.1231, 0.1214
0.1846, 1, 0.2863, -0.0818, 0.1823, 0.1873, -0.245, 0.3242, 0.1286, 0.0576, -0.245, -0.1041, -0.0604, -0.1605, -0.1801, 0.2182, -0.343, 0.0633, -0.25, 0.2041, 0.1909, -0.081, 0.1, -0.3425, 0.2417, -0.0456, -0.2655, 0.1448, 0, -0.2358
0.0128, 0.2863, 1, -0.2045, -0.0823, 0.1024, -0.7513, 0.1877, 0.0982, 0.189, 0.1762, -0.2195, -0.4237, -0.0146, -0.1375, 0.2045, -0.2098, -0.0066, 0.026, 0.17, 0.0795, 0.0823, 0.1562, -0.2056, 0.3104, -0.197, -0.1232, -0.0025, -0.026, -0.0982
-0.0067, -0.0818, -0.2045, 1, -0.0398, 0.0102, 0.2722, 0.1503, -0.2854, 0.1761, 0.0292, -0.2045, 0.277, -0.2934, 0.0175, -0.5536, 0.4023, 0.4929, -0.1273, 0.1336, -0.0417, 0.3714, -0.2182, 0.2726, 0.1671, 0.1343, 0.0316, 0.2318, -0.1909, -0.2994
0.0648, 0.1823, -0.0823, -0.0398, 1, -0.0038, 0.1697, -0.179, 0.1494, -0.2406, -0.1011, 0.2342, 0.1012, -0.2163, 0.2368, 0.1503, -0.2363, 0.0736, 0.0473, -0.2978, 0.1813, 0.0673, -0.2026, -0.3461, -0.1437, 0.0425, 0.2328, 0.2563, -0.1823, -0.0625
0.2075, 0.1873, 0.1024, 0.0102, -0.0038, 1, -0.171, 0.0038, 0.0843, 0.2267, 0.0375, 0.1024, -0.2566, 0.0451, 0.1162, -0.0102, 0.0161, -0.0079, 0.1288, -0.1147, 0.2657, -0.2808, 0.1873, -0.0264, -0.1623, -0.4142, -0.0724, -0.0407, 0.0468, 0.1165
-0.0932, -0.245, -0.7513, 0.2722, 0.1697, -0.171, 1, -0.0794, -0.1413, -0.2516, -0.0913, 0.2922, 0.5241, -0.2288, 0.1534, -0.2722, 0.3323, 0.1655, -0.1893, -0.1455, 0.0292, -0.0794, -0.0891, -0.0754, -0.0144, 0.2397, 0.1161, -0.0086, 0.0223, -0.0497
-0.3142, 0.3242, 0.1877, 0.1503, -0.179, 0.0038, -0.0794, 1, 0.1981, -0.1098, 0.1011, -0.2342, -0.1829, -0.1089, -0.2368, -0.2609, -0.1981, 0.1831, -0.3005, 0.2978, 0.1503, -0.0673, -0.1216, -0.1437, 0.3886, 0.0499, -0.2328, 0.2328, -0.0203, -0.1112
0.1425, 0.1286, 0.0982, -0.2854, 0.1494, 0.0843, -0.1413, 0.1981, 1, -0.2768, -0.2368, 0.2098, -0.1762, -0.0551, -0.1133, 0.4023, -0.6324, -0.0507, 0.0214, -0.1225, -0.0515, -0.41, -0.1715, -0.0829, -0.0035, 0.0821, -0.0497, 0.0497, -0.1286, 0.3787
-0.149, 0.0576, 0.189, 0.1761, -0.2406, 0.2267, -0.2516, -0.1098, -0.2768, 1, -0.1232, -0.4111, -0.2415, 0.2567, -0.1892, -0.0189, 0.2768, 0.1679, 0.0576, 0.3765, -0.1384, 0.2406, 0.1729, 0.2415, -0.2415, -0.1078, 0.2143, -0.0751, -0.2017, -0.0939
-0.0932, -0.245, 0.1762, 0.0292, -0.1011, 0.0375, -0.0913, 0.1011, -0.2368, -0.1232, 1, 0.0603, -0.2836, -0.1394, 0.0642, -0.2722, 0.3323, 0.1655, 0.1819, 0.0364, -0.0923, 0.1913, -0.0891, 0.1041, -0.0144, -0.065, -0.0989, -0.1161, 0.245, 0.0458
