1, NaN, -0.1336, -0.0516, 0.1531, 0.1667, -0.1667, 0.0516, 0.0891, -0.14, -0.2387, -0.1, 0.1, NaN, -0.0891, 0.0824, 0.1884, -0.0754, 0.121, -0.2844, -0.0689, -0.1021, 0.0292, 0.068, 0.0292, 0.0417, 0.2399, 0.1667, -0.0754, 0.121, -0.0292, -0.0292, 0.0891, 0.0754, 0.3632, NaN, -0.0824, 0.0417, -0.1893, -0.0516, 0.1084, -0.0891, 0.0754, -0.1667, -0.0891, -0.4357, 0.1598, -0.0292, 0.1336, -0.0417, NaN, 0.0516, -0.0956, -0.2212, -0.316, 0.0824, -0.0602, NaN, -0.2125, -0.0417, -0.2722, -0.0292, -0.0417, -0.1021, -0.0689, -0.0788, 0.4357, -0.0602, 0.0417, -0.3632, -0.0292, 0.3444, -0.0417, 0.1084, NaN, 0.0417, -0.316, 0.0292, 0.0516, -0.1
NaN, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
-0.1336, NaN, 1, -0.1654, -0.3273, 0, 0.0891, 0.1654, 0.2857, 0.2058, 0.1074, 0.311, -0.2138, NaN, -0.1667, 0.1384, -0.0088, -0.2417, -0.2089, -0.0829, 0.3777, 0.2182, 0.0935, 0.0727, 0.0935, 0.1336, 0.1503, -0.0891, -0.1074, -0.1094, -0.0935, 0.2182, -0.3333, 0.1074, -0.2657, NaN, -0.1384, 0.1336, 0.1667, 0.0184, -0.2845, 0.3095, 0.1074, 0.6236, -0.1667, 0.0795, -0.5665, -0.0935, 0.3333, -0.1336, NaN, -0.0184, 0.4885, -0.0088, 0.193, 0.1384, -0.0322, NaN, 0.0175, -0.1336, 0.0727, -0.0935, 0.0891, -0.2182, 0.3777, -0.1123, -0.0795, -0.0322, 0.1336, -0.1431, -0.0935, -0.2885, 0.0891, 0.2423, NaN, 0.1336, 0.193, 0.0935, 0.1654, -0.175
-0.0516, NaN, -0.1654, 1, 0.014, 0.0344, -0.2063, -0.2908, 0.1103, -0.1733, -0.1659, 0.1576, 0.03, NaN, -0.1103, 0.1019, 0.0642, -0.0933, -0.0422, 0.0036, -0.352, -0.1263, 0.0361, 0.0842, 0.0361, -0.3782, -0.0444, 0.0344, 0.1659, 0.1498, -0.0361, -0.0361, 0.2021, 0.0933, -0.142, NaN, -0.1019, 0.0516, 0.1103, -0.0638, 0.1342, 0.1195, 0.0933, -0.2063, -0.1103, 0.1184, 0.1978, -0.0361, -0.0184, 0.3782, NaN, -0.2908, -0.1184, 0.2332, 0.0745, -0.1408, -0.0745, NaN, -0.0944, 0.3782, -0.1965, -0.0361, -0.0516, -0.1263, 0.0036, 0.1733, -0.1184, -0.0745, 0.0516, -0.0552, 0.5654, -0.1498, -0.0516, -0.0691, NaN, -0.3782, -0.2359, -0.5654, 0.0638, 0.1576
0.1531, NaN, -0.3273, 0.014, 1, 0.068, 0.017, -0.014, -0.1, -0.2001, -0.1487, -0.3749, 0.2821, NaN, -0.1273, 0.0576, -0.3578, 0.277, 0.1254, 0.2533, -0.3624, 0.375, -0.1071, -0.1111, -0.1071, -0.1531, -0.206, 0.2381, 0.0205, -0.1596, -0.1905, -0.1905, 0.3091, -0.0205, 0.2263, NaN, -0.0576, -0.1531, 0.0136, 0.014, -0.0966, -0.0136, 0.2359, -0.3232, 0.1, -0.026, 0.3571, -0.1905, -0.1273, -0.0595, NaN, -0.1895, -0.4078, 0.1438, -0.2212, -0.1825, -0.086, NaN, -0.387, 0.1531, -0.1111, 0.1071, -0.0595, 0.0625, -0.3624, 0.468, 0.026, -0.3932, -0.1531, -0.3239, -0.1905, 0.3496, -0.0595, 0.3058, NaN, -0.1531, -0.0676, 0.1905, -0.014, -0.1893
0.1667, NaN, 0, 0.0344, 0.068, 1, -0.3333, 0.1375, -0.0223, 0.2976, -0.0503, -0.3273, 0.5092, NaN, 0.0223, 0.1412, -0.1802, 0.3015, -0.2048, -0.1551, -0.3275, -0.2041, -0.1166, -0.2722, -0.1166, 0.25, 0.1158, 0.0833, -0.3266, 0.1675, -0.175, -0.175, 0.2673, 0.0754, 0.1721, NaN, -0.0235, 0.25, 0.0891, 0.2063, 0.2562, -0.0891, 0.3266, -0.0833, -0.0891, 0.255, 0.2019, -0.175, -0.3563, 0.1667, NaN, -0.2063, 0.0638, -0.1802, 0.2107, -0.0941, -0.2107, NaN, -0.049, -0.25, 0, -0.175, -0.0417, -0.1021, -0.3275, -0.035, -0.0425, -0.2107, 0.0417, 0.3059, 0.1166, 0.3909, -0.0417, 0.2562, NaN, 0.0417, 0.0602, -0.1166, 0.1375, 0.1273
-0.1667, NaN, 0.0891, -0.2063, 0.017, -0.3333, 1, -0.1375, 0.1336, -0.035, 0.0503, 0.1455, -0.2364, NaN, -0.0223, -0.1412, 0.0164, -0.3015, 0.1117, 0.0689, 0.4137, 0.2041, 0.1166, 0.2722, -0.175, 0.1667, -0.1158, 0.3333, 0.0754, -0.1675, 0.175, 0.175, -0.3563, -0.0754, -0.1721, NaN, -0.0941, -0.25, -0.0891, -0.0344, -0.5519, 0.4232, -0.201, -0.0833, 0.2004, -0.0425, -0.1178, -0.1166, 0.4454, -0.1667, NaN, 0.0344, -0.17, 0.5898, -0.2107, -0.1412, 0.0602, NaN, -0.1144, -0.1667, 0, -0.1166, 0.25, 0.2041, 0.2413, 0.035, 0.1488, 0.3612, -0.0417, -0.1147, -0.1166, -0.2978, 0.0417, -0.1577, NaN, -0.0417, -0.0602, 0.1166, -0.1375, -0.1273
0.0516, NaN, 0.1654, -0.2908, -0.014, 0.1375, -0.1375, 1, -0.1103, -0.0072, -0.0933, 0.2176, 0.1576, NaN, 0.1103, -0.1019, -0.0642, 0.0933, 0.0422, -0.0036, 0.1742, -0.0842, -0.0361, -0.0842, -0.0361, -0.0516, -0.1263, -0.2063, -0.1659, -0.1498, 0.0361, 0.0361, -0.3859, -0.0933, -0.0552, NaN, 0.1019, -0.0516, -0.1103, 0.0638, -0.1342, -0.1195, -0.0933, 0.2063, 0.1103, -0.1184, -0.1978, 0.0361, 0.0184, -0.3782, NaN, -0.0638, 0.1184, -0.0642, 0.2359, -0.1019, 0.0745, NaN, -0.0742, 0.0516, 0.4772, 0.0361, -0.3782, -0.0842, -0.0036, -0.1733, -0.1008, 0.0745, -0.0516, -0.142, -0.5654, 0.1498, -0.3782, 0.0691, NaN, -0.0516, 0.2359, 0.5654, 0.2908, -0.1576
0.0891, NaN, 0.2857, 0.1103, -0.1, -0.0223, 0.1336, -0.1103, 1, -0.0515, 0.0067, 0.0923, -0.0923, NaN, -0.4048, 0.1384, -0.0744, -0.0067, -0.2587, 0.0322, -0.0829, -0.0546, -0.0623, -0.1455, -0.0623, -0.0891, 0.0398, 0.2004, 0.1612, 0.1144, 0.0623, 0.0623, 0.1667, 0.3425, 0.2453, NaN, -0.2956, -0.0891, -0.0417, 0.1103, -0.2318, 0.1905, 0.0067, 0.1336, -0.256, 0.0795, -0.1169, -0.3273, 0.4286, -0.1893, NaN, 0.1195, 0.0625, 0.1445, -0.1287, 0.2956, -0.0724, NaN, 0.0175, 0.0891, -0.1455, 0.0623, 0.0891, -0.0546, -0.0829, 0.0515, -0.2215, 0.1287, -0.0891, -0.1175, 0.0623, 0.0099, 0.0891, 0.295, NaN, -0.0891, -0.1287, -0.0623, 0.3492, 0.2138
-0.14, NaN, 0.2058, -0.1733, -0.2001, 0.2976, -0.035, -0.0072, -0.0515, 1, -0.2744, -0.1451, 0.1451, NaN, -0.0655, 0.0297, 0.289, -0.1214, -0.4731, -0.0507, 0.0398, -0.2358, 0.098, 0.0857, 0.098, 0.14, 0.1112, -0.3151, -0.2533, 0.1134, -0.098, -0.098, -0.1684, 0.1214, -0.2851, NaN, -0.1532, -0.2976, 0.0655, 0.1878, -0.0497, -0.1824, 0.1214, 0.0525, -0.0655, -0.0134, -0.1696, -0.098, -0.0187, 0.0788, NaN, -0.0072, 0.3482, -0.1411, -0.2718, 0.0297, 0.2718, NaN, 0.1442, -0.14, -0.0572, -0.098, 0.0788, 0.4073, 0.2208, -0.0809, -0.2098, -0.0443, -0.0788, 0.3855, -0.098, -0.1134, 0.2976, 0.0538, NaN, 0.14, -0.1138, 0.098, 0.1733, 0.0458
