1, 0.0196, -0.3619, 0.1714, 0.1883, -0.2632, -0.0711, -0.0452, -0.1071, 0.0355, 0.0531, 0.0829, -0.1007, -0.3509, -0.0067
0.0196, 1, 0.2488, 0.0276, 0.0196, 0.0496, -0.135, -0.0746, -0.0196, -0.0746, 0.0818, -0.0243, -0.1287, -0.2884, 0.0371
-0.3619, 0.2488, 1, 0.0612, -0.1129, 0.2187, 0.0612, 0.2375, 0.0299, 0.1551, -0.3582, -0.0071, -0.2595, 0.1505, -0.1854
0.1714, 0.0276, 0.0612, 1, 0.1714, -0.2621, -0.0467, 0.0032, -0.2522, -0.0771, 0.0612, -0.2271, -0.1943, 0.327, -0.1906
0.1883, 0.0196, -0.1129, 0.1714, 1, -0.1809, -0.152, 0.0355, 0.1364, -0.1258, -0.1129, 0.0829, -0.2056, -0.0679, 0.0772
-0.2632, 0.0496, 0.2187, -0.2621, -0.1809, 1, 0.2294, -0.2778, 0.0987, -0.1144, -0.2019, 0.035, -0.0425, -0.1721, -0.3572
-0.0711, -0.135, 0.0612, -0.0467, -0.152, 0.2294, 1, 0.0032, 0.0711, 0.0835, -0.0215, 0.117, 0.0146, -0.0489, -0.107
-0.0452, -0.0746, 0.2375, 0.0032, 0.0355, -0.2778, 0.0032, 1, -0.0355, 0.2788, -0.0099, 0.1133, -0.1375, 0.0712, 0.0534
-0.1071, -0.0196, 0.0299, -0.2522, 0.1364, 0.0987, 0.0711, -0.0355, 1, 0.2065, -0.1361, 0.1762, -0.1091, -0.0264, 0.0067
0.0355, -0.0746, 0.1551, -0.0771, -0.1258, -0.1144, 0.0835, 0.2788, 0.2065, 1, -0.1748, 0.0275, -0.3459, 0.165, -0.3636
0.0531, 0.0818, -0.3582, 0.0612, -0.1129, -0.2019, -0.0215, -0.0099, -0.1361, -0.1748, 1, 0.0813, 0.384, 0.1505, 0.0721
0.0829, -0.0243, -0.0071, -0.2271, 0.0829, 0.035, 0.117, 0.1133, 0.1762, 0.0275, 0.0813, 1, -0.0982, -0.0161, -0.1108
-0.1007, -0.1287, -0.2595, -0.1943, -0.2056, -0.0425, 0.0146, -0.1375, -0.1091, -0.3459, 0.384, -0.0982, 1, 0.1414, 0.2429
-0.3509, -0.2884, 0.1505, 0.327, -0.0679, -0.1721, -0.0489, 0.0712, -0.0264, 0.165, 0.1505, -0.0161, 0.1414, 1, -0.1288
-0.0067, 0.0371, -0.1854, -0.1906, 0.0772, -0.3572, -0.107, 0.0534, 0.0067, -0.3636, 0.0721, -0.1108, 0.2429, -0.1288, 1
