1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
NaN, 1, -0.1184, -0.0361, -0.0361, -0.0516, NaN, -0.1019, -0.0361, -0.0361, -0.0516, -0.1019, -0.1019, 0.2908, -0.0842, -0.0361, -0.1576, -0.0638, -0.0361, -0.0745, -0.0516, 0.3835, -0.0361, -0.0638, -0.0361, 0.6454, NaN, -0.0638, -0.0933, -0.0638, NaN, -0.0638, -0.0516, -0.0516, -0.1103, -0.1019, NaN, NaN, -0.0516, NaN, -0.0361, -0.0638, -0.0638, -0.0638, -0.0516, -0.1733, -0.0516, -0.0516, -0.0361, -0.0516
NaN, -0.1184, 1, 0.3049, -0.0669, 0.4357, NaN, 0.111, -0.0669, -0.0669, -0.0956, -0.039, -0.039, 0.32, 0.0174, -0.0669, -0.1762, -0.1184, -0.0669, 0.2456, -0.0956, -0.189, 0.3049, -0.1184, -0.0669, -0.1184, NaN, 0.1008, -0.173, 0.1008, NaN, 0.1008, -0.0956, 0.17, 0.2215, -0.039, NaN, NaN, 0.17, NaN, 0.3049, -0.1184, 0.1008, 0.1008, -0.0956, 0.0134, 0.17, 0.17, -0.0669, 0.17
NaN, -0.0361, 0.3049, 1, -0.0204, -0.0292, NaN, -0.0576, -0.0204, -0.0204, -0.0292, 0.3541, -0.0576, -0.0361, -0.0476, -0.0204, -0.0891, -0.0361, -0.0204, -0.0421, -0.0292, -0.0576, -0.0204, -0.0361, -0.0204, -0.0361, NaN, 0.5654, -0.0528, -0.0361, NaN, -0.0361, -0.0292, -0.0292, -0.0623, 0.3541, NaN, NaN, -0.0292, NaN, -0.0204, -0.0361, -0.0361, -0.0361, -0.0292, -0.098, -0.0292, -0.0292, -0.0204, -0.0292
NaN, -0.0361, -0.0669, -0.0204, 1, -0.0292, NaN, 0.3541, -0.0204, -0.0204, -0.0292, -0.0576, -0.0576, -0.0361, 0.4286, -0.0204, -0.0891, -0.0361, -0.0204, 0.4845, -0.0292, -0.0576, -0.0204, -0.0361, -0.0204, -0.0361, NaN, -0.0361, -0.0528, -0.0361, NaN, -0.0361, -0.0292, -0.0292, -0.0623, -0.0576, NaN, NaN, -0.0292, NaN, -0.0204, -0.0361, -0.0361, -0.0361, -0.0292, 0.2082, -0.0292, -0.0292, -0.0204, -0.0292
NaN, -0.0516, 0.4357, -0.0292, -0.0292, 1, NaN, -0.0824, -0.0292, -0.0292, -0.0417, -0.0824, -0.0824, -0.0516, 0.2722, -0.0292, -0.1273, -0.0516, -0.0292, -0.0602, -0.0417, -0.0824, 0.6999, -0.0516, -0.0292, -0.0516, NaN, -0.0516, -0.0754, 0.3782, NaN, -0.0516, -0.0417, 0.4792, 0.1893, -0.0824, NaN, NaN, -0.0417, NaN, -0.0292, -0.0516, 0.3782, 0.3782, -0.0417, -0.14, -0.0417, -0.0417, -0.0292, -0.0417
NaN, NaN, NaN, NaN, NaN, NaN, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
NaN, -0.1019, 0.111, -0.0576, 0.3541, -0.0824, NaN, 1, -0.0576, -0.0576, 0.2118, 0.0033, 0.0033, 0.3835, 0.0576, -0.0576, 0.0051, -0.1019, -0.0576, 0.0935, -0.0824, 0.0033, -0.0576, -0.1019, 0.3541, -0.1019, NaN, -0.1019, -0.149, -0.1019, NaN, -0.1019, -0.0824, -0.0824, -0.1761, -0.1628, NaN, NaN, -0.0824, NaN, 0.3541, 0.1408, -0.1019, -0.1019, -0.0824, 0.2175, -0.0824, -0.0824, -0.0576, 0.2118
NaN, -0.0361, -0.0669, -0.0204, -0.0204, -0.0292, NaN, -0.0576, 1, -0.0204, -0.0292, -0.0576, -0.0576, -0.0361, -0.0476, -0.0204, -0.0891, -0.0361, -0.0204, -0.0421, -0.0292, 0.3541, -0.0204, -0.0361, -0.0204, -0.0361, NaN, -0.0361, -0.0528, -0.0361, NaN, -0.0361, -0.0292, -0.0292, -0.0623, -0.0576, NaN, NaN, -0.0292, NaN, -0.0204, -0.0361, -0.0361, -0.0361, -0.0292, 0.2082, 0.6999, -0.0292, -0.0204, -0.0292
NaN, -0.0361, -0.0669, -0.0204, -0.0204, -0.0292, NaN, -0.0576, -0.0204, 1, -0.0292, -0.0576, 0.3541, -0.0361, -0.0476, -0.0204, 0.2291, -0.0361, -0.0204, -0.0421, 0.6999, -0.0576, -0.0204, -0.0361, -0.0204, -0.0361, NaN, -0.0361, 0.3869, -0.0361, NaN, -0.0361, -0.0292, -0.0292, -0.0623, 0.3541, NaN, NaN, -0.0292, NaN, -0.0204, -0.0361, -0.0361, -0.0361, -0.0292, -0.098, -0.0292, -0.0292, -0.0204, -0.0292
