1, 0.2387, -0.0516, -0.0516, 0.138, -0.1273, -0.0891, -0.0292, -0.0602, -0.068, -0.068, -0.1084, 0.1893, 0.1531, 0.3632, 0.2118, 0.17, -0.0602, -0.068, -0.0417
0.2387, 1, 0.1659, 0.1659, 0.2496, 0.318, 0.0067, -0.0528, 0.118, -0.1231, -0.1231, -0.1961, 0.0067, 0.1231, 0.0807, 0.0284, -0.0128, -0.1089, 0.0821, -0.0754
-0.0516, 0.1659, 1, 0.2908, 0.0691, 0.03, -0.1103, -0.0361, 0.2359, 0.1965, -0.0842, 0.0691, -0.1103, 0.0842, 0.0552, 0.1408, 0.1008, -0.0745, -0.0842, 0.3782
-0.0516, 0.1659, 0.2908, 1, 0.2724, 0.03, -0.1103, -0.0361, -0.0745, 0.1965, -0.0842, -0.1342, 0.1195, -0.1263, -0.142, 0.1408, 0.1008, 0.2359, 0.1965, -0.0516
0.138, 0.2496, 0.0691, 0.2724, 1, 0.2065, 0.0316, -0.0759, 0.1993, -0.177, -0.177, -0.1655, 0.1633, -0.1448, 0.1537, 0.064, -0.1232, 0.0214, -0.177, -0.1084
-0.1273, 0.318, 0.03, 0.03, 0.2065, 1, -0.1507, -0.0891, 0.1445, -0.2079, -0.0594, -0.0086, -0.2722, -0.0891, -0.2461, -0.1232, -0.0603, -0.0197, -0.0594, -0.1273
-0.0891, 0.0067, -0.1103, -0.1103, 0.0316, -0.1507, 1, -0.0623, 0.0724, -0.1455, 0.0364, 0.0316, 0.1071, -0.0818, -0.2453, 0.4528, -0.0625, 0.0724, 0.2182, -0.0891
-0.0292, -0.0528, -0.0361, -0.0361, -0.0759, -0.0891, -0.0623, 1, -0.0421, -0.0476, -0.0476, -0.0759, -0.0623, -0.0714, -0.0803, 0.3541, -0.0669, -0.0421, -0.0476, -0.0292
-0.0602, 0.118, 0.2359, -0.0745, 0.1993, 0.1445, 0.0724, -0.0421, 1, -0.0983, -0.0983, 0.1993, -0.1287, 0.0369, -0.1657, 0.0935, -0.1382, -0.087, -0.0983, 0.316
-0.068, -0.1231, 0.1965, 0.1965, -0.177, -0.2079, -0.1455, -0.0476, -0.0983, 1, -0.1111, 0.1448, -0.1455, 0.1667, 0.1249, -0.1345, 0.5379, -0.0983, 0.1111, -0.068
-0.068, -0.1231, -0.0842, -0.0842, -0.177, -0.0594, 0.0364, -0.0476, -0.0983, -0.1111, 1, -0.0161, 0.0364, 0.1667, -0.1873, 0.0576, 0.0174, 0.3932, -0.1111, -0.068
-0.1084, -0.1961, 0.0691, -0.1342, -0.1655, -0.0086, 0.0316, -0.0759, 0.1993, 0.1448, -0.0161, 1, -0.2318, 0.2173, -0.2984, 0.064, 0.0025, 0.0214, -0.177, 0.138
0.1893, 0.0067, -0.1103, 0.1195, 0.1633, -0.2722, 0.1071, -0.0623, -0.1287, -0.1455, 0.0364, -0.2318, 1, -0.0818, 0.2657, -0.1761, -0.2045, 0.0724, 0.0364, -0.0891
0.1531, 0.1231, 0.0842, -0.1263, -0.1448, -0.0891, -0.0818, -0.0714, 0.0369, 0.1667, 0.1667, 0.2173, -0.0818, 1, 0.0702, -0.0576, 0.1562, 0.0369, -0.1667, -0.1021
0.3632, 0.0807, 0.0552, -0.142, 0.1537, -0.2461, -0.2453, -0.0803, -0.1657, 0.1249, -0.1873, -0.2984, 0.2657, 0.0702, 1, -0.0918, 0.2243, -0.1657, 0.1249, -0.1147
0.2118, 0.0284, 0.1408, 0.1408, 0.064, -0.1232, 0.4528, 0.3541, 0.0935, -0.1345, 0.0576, 0.064, -0.1761, -0.0576, -0.0918, 1, -0.039, 0.0935, 0.0576, -0.0824
0.17, -0.0128, 0.1008, 0.1008, -0.1232, -0.0603, -0.0625, -0.0669, -0.1382, 0.5379, 0.0174, 0.0025, -0.2045, 0.1562, 0.2243, -0.039, 1, -0.1382, 0.1909, -0.0956
-0.0602, -0.1089, -0.0745, 0.2359, 0.0214, -0.0197, 0.0724, -0.0421, -0.087, -0.0983, 0.3932, 0.0214, 0.0724, 0.0369, -0.1657, 0.0935, -0.1382, 1, -0.0983, -0.0602
-0.068, 0.0821, -0.0842, 0.1965, -0.177, -0.0594, 0.2182, -0.0476, -0.0983, 0.1111, -0.1111, -0.177, 0.0364, -0.1667, 0.1249, 0.0576, 0.1909, -0.0983, 1, -0.068
-0.0417, -0.0754, 0.3782, -0.0516, -0.1084, -0.1273, -0.0891, -0.0292, 0.316, -0.068, -0.068, 0.138, -0.0891, -0.1021, -0.1147, -0.0824, -0.0956, -0.0602, -0.068, 1
