1, 0.0092, -0.0829, 0.1303, -0.098, 0.0695, -0.1935, -0.0408, -0.214, -0.071, 0.1591, -0.0135
0.0092, 1, 0.2381, 0.1123, -0.1572, -0.0788, -0.0476, -0.1231, 0.3327, 0.1572, 0.0265, 0.0175
-0.0829, 0.2381, 1, 0.2058, 0.0175, 0.0088, -0.0476, -0.0352, -0.1169, 0.0699, -0.1503, -0.0699
0.1303, 0.1123, 0.2058, 1, -0.0275, -0.031, -0.1123, -0.2557, -0.1696, -0.1442, 0.2363, -0.1133
-0.098, -0.1572, 0.0175, -0.0275, 1, 0.0032, 0.0699, 0.0355, -0.0924, 0.0417, -0.2498, 0.1186
0.0695, -0.0788, 0.0088, -0.031, 0.0032, 1, 0.2539, -0.152, 0.0612, -0.0032, -0.0276, 0.0835
-0.1935, -0.0476, -0.0476, -0.1123, 0.0699, 0.2539, 1, 0.0352, 0.1169, -0.332, -0.2918, -0.1922
-0.0408, -0.1231, -0.0352, -0.2557, 0.0355, -0.152, 0.0352, 1, 0.2191, -0.0355, 0.062, 0.1161
-0.214, 0.3327, -0.1169, -0.1696, -0.0924, 0.0612, 0.1169, 0.2191, 1, -0.0726, 0.0017, -0.0924
-0.071, 0.1572, 0.0699, -0.1442, 0.0417, -0.0032, -0.332, -0.0355, -0.0726, 1, 0.1687, 0.4423
0.1591, 0.0265, -0.1503, 0.2363, -0.2498, -0.0276, -0.2918, 0.062, 0.0017, 0.1687, 1, -0.0065
-0.0135, 0.0175, -0.0699, -0.1133, 0.1186, 0.0835, -0.1922, 0.1161, -0.0924, 0.4423, -0.0065, 1
