1, -0.0292, 0.8079, -0.0891, 0.2118, -0.0417, -0.1021, -0.0516, NaN, -0.0292, NaN, -0.068, -0.0417, -0.0292, NaN, NaN, -0.0292, -0.0292, -0.0292, -0.0417, -0.0417, -0.0417, -0.0516, -0.0292, NaN, -0.068, -0.0516, -0.068, 0.4677, -0.0602, -0.0754, 0.1243, -0.0956, -0.0516, -0.0417, -0.0292, 0.138, NaN, -0.0956, 0.1893
-0.0292, 1, -0.0361, -0.0623, -0.0576, -0.0292, -0.0714, -0.0361, NaN, -0.0204, NaN, -0.0476, -0.0292, -0.0204, NaN, NaN, -0.0204, -0.0204, -0.0204, -0.0292, 0.6999, -0.0292, -0.0361, -0.0204, NaN, -0.0476, -0.0361, -0.0476, -0.0623, -0.0421, 0.3869, -0.0803, -0.0669, -0.0361, -0.0292, -0.0204, 0.269, NaN, -0.0669, 0.3273
0.8079, -0.0361, 1, 0.1195, 0.1408, 0.3782, -0.1263, -0.0638, NaN, -0.0361, NaN, -0.0842, -0.0516, -0.0361, NaN, NaN, -0.0361, -0.0361, -0.0361, -0.0516, -0.0516, -0.0516, 0.2908, -0.0361, NaN, -0.0842, -0.0638, -0.0842, 0.3492, -0.0745, -0.0933, 0.0552, -0.1184, -0.0638, -0.0516, -0.0361, 0.0691, NaN, -0.1184, 0.1195
-0.0891, -0.0623, 0.1195, 1, -0.0189, 0.1893, 0.0546, -0.1103, NaN, -0.0623, NaN, -0.1455, -0.0891, -0.0623, NaN, NaN, -0.0623, -0.0623, -0.0623, 0.1893, -0.0891, 0.1893, 0.3492, 0.3273, NaN, -0.1455, -0.1103, -0.1455, -0.1905, -0.1287, -0.1612, -0.2453, 0.0795, 0.1195, -0.0891, -0.0623, -0.2318, NaN, 0.3635, 0.1071
0.2118, -0.0576, 0.1408, -0.0189, 1, 0.2118, 0.3747, -0.1019, NaN, -0.0576, NaN, 0.2498, -0.0824, -0.0576, NaN, NaN, -0.0576, -0.0576, -0.0576, 0.2118, -0.0824, -0.0824, -0.1019, -0.0576, NaN, -0.1345, 0.1408, 0.0576, 0.2956, -0.119, 0.0284, -0.2267, -0.039, -0.1019, -0.0824, -0.0576, -0.0751, NaN, 0.261, -0.1761
-0.0417, -0.0292, 0.3782, 0.1893, 0.2118, 1, -0.1021, -0.0516, NaN, -0.0292, NaN, -0.068, -0.0417, -0.0292, NaN, NaN, -0.0292, -0.0292, -0.0292, -0.0417, -0.0417, -0.0417, 0.3782, -0.0292, NaN, -0.068, -0.0516, 0.2722, 0.1893, -0.0602, -0.0754, -0.1147, -0.0956, -0.0516, -0.0417, -0.0292, -0.1084, NaN, -0.0956, -0.0891
-0.1021, -0.0714, -0.1263, 0.0546, 0.3747, -0.1021, 1, 0.0842, NaN, 0.2857, NaN, 0, -0.1021, -0.0714, NaN, NaN, -0.0714, -0.0714, 0.2857, 0.1531, -0.1021, -0.1021, -0.1263, -0.0714, NaN, -0.1667, -0.1263, 0, -0.0818, -0.1474, 0.1231, -0.281, 0.026, 0.2948, 0.1531, 0.2857, -0.0241, NaN, 0.1562, 0.0546
-0.0516, -0.0361, -0.0638, -0.1103, -0.1019, -0.0516, 0.0842, 1, NaN, -0.0361, NaN, -0.0842, -0.0516, -0.0361, NaN, NaN, -0.0361, -0.0361, 0.5654, -0.0516, -0.0516, -0.0516, -0.0638, -0.0361, NaN, -0.0842, -0.0638, 0.7579, -0.1103, 0.2359, -0.0933, -0.142, 0.1008, -0.0638, -0.0516, -0.0361, 0.0691, NaN, 0.1008, -0.1103
NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
-0.0292, -0.0204, -0.0361, -0.0623, -0.0576, -0.0292, 0.2857, -0.0361, NaN, 1, NaN, -0.0476, -0.0292, -0.0204, NaN, NaN, -0.0204, -0.0204, -0.0204, -0.0292, -0.0292, -0.0292, -0.0361, -0.0204, NaN, -0.0476, -0.0361, -0.0476, -0.0623, -0.0421, -0.0528, -0.0803, -0.0669, 0.5654, -0.0292, -0.0204, -0.0759, NaN, -0.0669, 0.3273
