1, 0.5943, 0.5922, -0.2557, -0.1968, -0.3331, -0.179, -0.0794, -0.1671, 0.3509, 0.2619, -0.0269
0.5943, 1, 0.4082, -0.2894, -0.03, -0.2742, 0.1046, 0.1077, 0.1273, 0.359, 0.3542, -0.1111
0.5922, 0.4082, 1, -0.2275, -0.2778, -0.344, -0.2365, -0.0503, -0.1336, 0.3059, 0.2041, -0.1361
-0.2557, -0.2894, -0.2275, 1, 0.1133, 0.4611, 0.1573, -0.0106, 0.2994, -0.1165, -0.5145, 0.0857
-0.1968, -0.03, -0.2778, 0.1133, 1, 0.1639, 0.4136, -0.138, 0.2009, -0.0225, -0.3203, 0.1868
-0.3331, -0.2742, -0.344, 0.4611, 0.1639, 1, -0.0058, 0.0296, 0.2539, -0.1428, -0.2608, -0.0401
-0.179, 0.1046, -0.2365, 0.1573, 0.4136, -0.0058, 1, -0.1961, 0.0316, -0.0724, -0.1448, 0.3058
-0.0794, 0.1077, -0.0503, -0.0106, -0.138, 0.0296, -0.1961, 1, 0.3425, -0.2075, -0.1846, -0.1231
-0.1671, 0.1273, -0.1336, 0.2994, 0.2009, 0.2539, 0.0316, 0.3425, 1, -0.1175, -0.2182, -0.1455
0.3509, 0.359, 0.3059, -0.1165, -0.0225, -0.1428, -0.0724, -0.2075, -0.1175, 1, 0.1873, -0.1873
0.2619, 0.3542, 0.2041, -0.5145, -0.3203, -0.2608, -0.1448, -0.1846, -0.2182, 0.1873, 1, 0.1667
-0.0269, -0.1111, -0.1361, 0.0857, 0.1868, -0.0401, 0.3058, -0.1231, -0.1455, -0.1873, 0.1667, 1
