1, -0.1684, 0.0187, -0.2111, -0.0655, 0.0857, 0.3482, -0.0748, -0.0538, 0.1799
-0.1684, 1, -0.0476, -0.0895, 0.0714, -0.3273, -0.1931, 0.1429, -0.3477, -0.2885
0.0187, -0.0476, 1, 0.0099, -0.1667, 0.1091, -0.0795, -0.1429, 0.0737, 0.1094
-0.2111, -0.0895, 0.0099, 1, -0.1343, 0.0456, -0.159, 0.0099, -0.0947, 0.0644
-0.0655, 0.0714, -0.1667, -0.1343, 1, 0.1909, 0.2215, -0.1667, 0.1633, 0.2388
0.0857, -0.3273, 0.1091, 0.0456, 0.1909, 1, 0.1562, 0.1091, 0.0966, 0.1596
0.3482, -0.1931, -0.0795, -0.159, 0.2215, 0.1562, 1, 0.0341, -0.1232, 0.3157
-0.0748, 0.1429, -0.1429, 0.0099, -0.1667, 0.1091, 0.0341, 1, -0.3477, -0.2885
-0.0538, -0.3477, 0.0737, -0.0947, 0.1633, 0.0966, -0.1232, -0.3477, 1, 0.1255
0.1799, -0.2885, 0.1094, 0.0644, 0.2388, 0.1596, 0.3157, -0.2885, 0.1255, 1
