1, 0.0748, 0.359, -0.3272, -0.027, -0.1922, -0.0476, -0.2428, 0.0546, -0.175, -0.0364, 0.2182, 0.3415, 0.3415, -0.2856
0.0748, 1, 0.117, 0.1112, -0.2721, -0.2849, -0.0748, -0.2579, 0.2465, 0.0497, -0.2894, 0, 0.1411, 0.0551, 0.0398
0.359, 0.117, 1, -0.2716, -0.1042, 0.0771, -0.1839, -0.1439, 0.2274, 0.0393, -0.2742, 0.1204, 0.0467, 0.0467, -0.2389
-0.3272, 0.1112, -0.2716, 1, -0.0818, 0.2498, -0.115, 0.2488, 0.0473, 0.0108, -0.1216, -0.0405, -0.135, -0.2976, 0.0975
-0.027, -0.2721, -0.1042, -0.0818, 1, 0.1748, 0.1169, 0.0187, 0.0721, -0.2129, 0.2438, -0.3708, 0.1868, -0.0612, -0.047
-0.1922, -0.2849, 0.0771, 0.2498, 0.1748, 1, 0.1922, 0.1551, -0.0534, -0.025, 0.1134, -0.0801, -0.3181, -0.1574, -0.1825
-0.0476, -0.0748, -0.1839, -0.115, 0.1169, 0.1922, 1, -0.2068, 0.2182, 0.0778, 0.1273, -0.0436, -0.2539, -0.0788, -0.2672
-0.2428, -0.2579, -0.1439, 0.2488, 0.0187, 0.1551, -0.2068, 1, -0.3296, -0.1542, 0.0137, 0.206, -0.0215, -0.2695, 0.2209
0.0546, 0.2465, 0.2274, 0.0473, 0.0721, -0.0534, 0.2182, -0.3296, 1, 0.0965, 0.0451, -0.25, 0.107, -0.311, -0.2744
-0.175, 0.0497, 0.0393, 0.0108, -0.2129, -0.025, 0.0778, -0.1542, 0.0965, 1, 0.0037, 0, -0.3968, 0.05, -0.2106
-0.0364, -0.2894, -0.2742, -0.1216, 0.2438, 0.1134, 0.1273, 0.0137, 0.0451, 0.0037, 1, 0, 0.107, -0.0602, -0.0106
0.2182, 0, 0.1204, -0.0405, -0.3708, -0.0801, -0.0436, 0.206, -0.25, 0, 0, 1, 0.0401, -0.0401, -0.1267
0.3415, 0.1411, 0.0467, -0.135, 0.1868, -0.3181, -0.2539, -0.0215, 0.107, -0.3968, 0.107, 0.0401, 1, 0.0338, -0.0152
0.3415, 0.0551, 0.0467, -0.2976, -0.0612, -0.1574, -0.0788, -0.2695, -0.311, 0.05, -0.0602, -0.0401, 0.0338, 1, -0.0152
-0.2856, 0.0398, -0.2389, 0.0975, -0.047, -0.1825, -0.2672, 0.2209, -0.2744, -0.2106, -0.0106, -0.1267, -0.0152, -0.0152, 1
