1, -0.0933, -0.1231, -0.318, -0.0269, -0.0617, 0.0754, -0.053, -0.1659, -0.0821, -0.0067, 0.1231, 0.0634, -0.1474, -0.1686, 0.1364, 0.277, 0.277, -0.1659, -0.1659, NaN, 0.1089, 0.1089, 0.1089
-0.0933, 1, 0.1965, 0.1576, 0.1654, -0.0422, 0.0516, 0.0933, 0.0638, 0.0842, 0.1103, 0.0842, 0.142, 0.1184, 0.0543, 0.0933, -0.1263, -0.1263, 0.0638, 0.0638, NaN, 0.0745, -0.2359, 0.0745
-0.1231, 0.1965, 1, 0.2079, 0.2182, 0.1976, 0.068, -0.0821, 0.0842, 0.1111, -0.0364, 0.1111, 0.0312, 0.1562, 0.2955, 0.1231, -0.1667, -0.1667, 0.0842, 0.0842, NaN, -0.1474, -0.1474, -0.1474
-0.318, 0.1576, 0.2079, 1, 0.3694, 0.3412, 0.1, 0.0439, 0.03, 0.0891, -0.0292, -0.0594, -0.1418, 0.4035, 0.1651, -0.0932, -0.4677, -0.4677, -0.1576, -0.1576, NaN, -0.0197, -0.1839, -0.1839
-0.0269, 0.1654, 0.2182, 0.3694, 1, 0.8059, -0.1336, -0.2417, -0.1654, 0.0727, -0.2857, -0.0727, -0.1635, 0.6021, 0.211, 0.4298, -0.4364, -0.4364, 0.0184, -0.1654, NaN, 0.2896, 0.1287, -0.193
-0.0617, -0.0422, 0.1976, 0.3412, 0.8059, 1, -0.121, -0.2189, -0.1498, -0.0456, -0.2587, -0.0456, -0.2263, 0.6717, 0.2094, 0.202, -0.5016, -0.5016, 0.0422, -0.1498, NaN, -0.0067, -0.0067, -0.1748
0.0754, 0.0516, 0.068, 0.1, -0.1336, -0.121, 1, 0.5528, -0.0516, -0.068, -0.0891, -0.068, -0.1147, -0.0956, -0.1809, -0.0754, 0.1021, 0.1021, 0.3782, -0.0516, NaN, -0.0602, -0.0602, -0.0602
-0.053, 0.0933, -0.0821, 0.0439, -0.2417, -0.2189, 0.5528, 1, 0.425, 0.0821, 0.0067, -0.1231, 0.0807, -0.0128, -0.2033, -0.1364, -0.1231, 0.0308, 0.1659, -0.0933, NaN, -0.1089, -0.1089, -0.1089
-0.1659, 0.0638, 0.0842, 0.03, -0.1654, -0.1498, -0.0516, 0.425, 1, -0.0842, -0.1103, -0.0842, 0.0552, 0.1008, -0.2239, -0.0933, -0.0842, -0.0842, -0.0638, -0.0638, NaN, -0.0745, -0.0745, -0.0745
-0.0821, 0.0842, 0.1111, 0.0891, 0.0727, -0.0456, -0.068, 0.0821, -0.0842, 1, -0.1455, -0.1111, 0.4371, 0.0174, 0.2417, 0.0821, -0.3333, 0, -0.0842, -0.0842, NaN, 0.1474, -0.0983, -0.0983
-0.0067, 0.1103, -0.0364, -0.0292, -0.2857, -0.2587, -0.0891, 0.0067, -0.1103, -0.1455, 1, 0.2182, -0.2453, -0.2045, -0.277, -0.1612, 0.2182, -0.0546, -0.1103, -0.1103, NaN, -0.1287, -0.1287, 0.0724
0.1231, 0.0842, 0.1111, -0.0594, -0.0727, -0.0456, -0.068, -0.1231, -0.0842, -0.1111, 0.2182, 1, -0.1873, -0.1562, -0.0269, -0.1231, 0.1667, -0.1667, -0.0842, -0.0842, NaN, -0.0983, -0.0983, 0.1474
0.0634, 0.142, 0.0312, -0.1418, -0.1635, -0.2263, -0.1147, 0.0807, 0.0552, 0.4371, -0.2453, -0.1873, 1, -0.0195, 0.4453, -0.2075, -0.0702, 0.1639, -0.142, -0.142, NaN, 0.0069, 0.0069, 0.1795
-0.1474, 0.1184, 0.1562, 0.4035, 0.6021, 0.6717, -0.0956, -0.0128, 0.1008, 0.0174, -0.2045, -0.1562, -0.0195, 1, 0.3188, -0.0128, -0.6768, -0.6768, 0.1008, -0.1184, NaN, -0.1382, 0.0537, -0.1382
-0.1686, 0.0543, 0.2955, 0.1651, 0.211, 0.2094, -0.1809, -0.2033, -0.2239, 0.2417, -0.277, -0.0269, 0.4453, 0.3188, 1, -0.3273, -0.4633, -0.2619, 0.1154, -0.0543, NaN, -0.2614, -0.1129, -0.1129
0.1364, 0.0933, 0.1231, -0.0932, 0.4298, 0.202, -0.0754, -0.1364, -0.0933, 0.0821, -0.1612, -0.1231, -0.2075, -0.0128, -0.3273, 1, 0.1846, 0.1846, -0.0933, -0.0933, NaN, 0.5717, 0.3448, -0.1089
0.277, -0.1263, -0.1667, -0.4677, -0.4364, -0.5016, 0.1021, -0.1231, -0.0842, -0.3333, 0.2182, 0.1667, -0.0702, -0.6768, -0.4633, 0.1846, 1, 0.75, -0.0842, 0.1263, NaN, 0.1474, 0.1474, 0.1474
