model, repeats, significance_epsilon, problem, problem size, best_value, best_time, best_iteration, best_ffe
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0, 3, 66, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.0100055, 100, 3200, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0029929, 19, 798, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.0190003, 88, 4576, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 4, 0, 1, 12, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0040001, 92, 2024, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0020033, 25, 800, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0030034, 19, 798, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0029931, 15, 780, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0, 11, 297, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 49, 0.951812744140625, 0.0080014, 34, 1734, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 100, 0.95294189453125, 0.0539985, 64, 6528, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 484, 0.90533447265625, 1.2539731, 65, 31590, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 10, 1, 0.0010015, 65, 780, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 50, 0.878005981445313, 0.0149978, 58, 3016, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 100, 0.900375366210938, 0.0829864, 87, 8874, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 200, 0.84259033203125, 0.0570094, 15, 3030, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 10, 10, 0, 2, 24, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 20, 20, 0, 2, 44, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 32, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 40, 40, 0.0010006, 1, 42, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 50, 50, 0.000999, 2, 104, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 4, 48, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0, 7, 154, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.008993, 100, 3200, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0009994, 4, 168, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 45, 0.001008, 3, 156, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 14, 168, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 8, 0, 1, 22, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0069956, 79, 2528, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0060077, 42, 1764, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0010079, 6, 312, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0, 1, 27, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 49, 0.951812744140625, 0.0190009, 86, 4386, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 100, 0.929412841796875, 0.0559932, 66, 6732, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 484, 0.907760620117188, 1.5570018, 81, 39366, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 10, 1, 0, 14, 168, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 50, 0.926193237304688, 0.0140065, 57, 2964, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 100, 0.90338134765625, 0.011997, 12, 1224, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 200, 0.850784301757813, 0.3609995, 96, 19392, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 10, 10, 0, 5, 60, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 20, 20, 0, 1, 22, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 30, 30, 0.001004, 8, 256, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 40, 40, 0, 2, 84, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 50, 50, 0.0010016, 3, 156, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 8, 96, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0029989, 67, 1474, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 26, 0.0039844, 46, 1472, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0120236, 75, 3150, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 42, 0.0029901, 14, 728, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 4, 0, 1, 12, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 8, 0, 1, 22, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0009996, 1, 32, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0070002, 50, 2100, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0060096, 24, 1248, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0060004, 90, 2430, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 49, 0.975906372070313, 0.0179928, 86, 4386, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 100, 0.929412841796875, 0.0009998, 2, 204, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 484, 0.898056030273438, 0.6569995, 34, 16524, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 10, 1, 0, 49, 588, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 50, 0.898269653320313, 0.0189999, 73, 3796, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 100, 0.8861083984375, 0.0309818, 31, 3162, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 200, 0.832275390625, 0.1759917, 46, 9292, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 5, 5, 0, 2, 14, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 12, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 20, 20, 0, 3, 66, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 30, 30, 0, 2, 64, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 40, 40, 0, 1, 42, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 50, 50, 0.001, 2, 104, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 5, 35, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0, 50, 600, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0029996, 53, 1166, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 26, 0, 1, 32, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0019919, 13, 546, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.0160091, 76, 3952, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 4, 0, 1, 12, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0040007, 95, 2090, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0010076, 20, 640, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.006016, 41, 1722, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0080228, 38, 1976, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0020071, 41, 1107, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 49, 0.951812744140625, 0.01899, 88, 4488, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 100, 0.929412841796875, 0.0110333, 13, 1326, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 484, 0.898056030273438, 0.1129999, 6, 2916, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 10, 1, 0, 1, 12, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 50, 0.936996459960938, 0.0019981, 10, 520, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 100, 0.871047973632813, 0.0430123, 45, 4590, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 200, 0.846649169921875, 0.155001, 41, 8282, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 10, 10, 0, 3, 36, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 20, 20, 0, 3, 66, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 30, 30, 0.0009993, 2, 64, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 40, 40, 0, 2, 84, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 50, 50, 0, 2, 104, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 8, 56, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 14, 168, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0020004, 31, 682, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.0100009, 97, 3104, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0029986, 20, 840, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0, 1, 52, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 2, 24, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 8, 0, 1, 22, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0, 1, 32, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0110026, 78, 3276, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0150091, 62, 3224, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 25, 0.9534912109375, 0, 1, 27, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 49, 0.951812744140625, 0.0010112, 6, 306, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 100, 0.941177368164063, 0.0479968, 50, 5100, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 484, 0.890777587890625, 0.019999, 1, 486, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 10, 1, 0, 16, 192, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 50, 0.897445678710938, 0.0050001, 19, 988, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 100, 0.874343872070313, 0.0489995, 50, 5100, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 200, 0.83807373046875, 0.1240193, 31, 6262, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 5, 5, 0, 2, 14, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 10, 10, 0, 2, 24, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 20, 20, 0, 1, 22, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 30, 30, 0, 2, 64, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 40, 40, 0, 2, 84, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 50, 50, 0.0010012, 3, 156, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 2, 14, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0, 12, 144, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 17, 0, 2, 44, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 26, 0.0009997, 9, 288, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0120188, 75, 3150, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.0019997, 11, 572, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 4, 0, 1, 12, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 6, 132, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 1, 32, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0009904, 7, 294, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0010026, 6, 312, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0039971, 71, 1917, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 49, 0.975906372070313, 0.0100037, 46, 2346, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 100, 0.941177368164063, 0.0539994, 57, 5814, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 484, 0.8956298828125, 1.1009913, 50, 24300, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 10, 1, 0.0010072, 55, 660, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 50, 0.891891479492188, 0.0169922, 55, 2860, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 100, 0.877532958984375, 0.0390066, 35, 3570, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 200, 0.841262817382813, 0.3020041, 70, 14140, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 5, 5, 0, 2, 14, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 12, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 20, 20, 0, 1, 22, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 32, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 40, 40, 0.0010001, 3, 126, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 50, 50, 0, 1, 52, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 18, 126, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0019999, 94, 1128, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0, 16, 352, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 26, 0.0009989, 11, 352, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0059968, 36, 1512, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 42, 0.003001, 11, 572, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 4, 0, 1, 12, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 8, 0, 1, 22, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0079994, 100, 3200, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0110045, 75, 3150, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0029994, 15, 780, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.002002, 36, 972, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 49, 0.951812744140625, 0.0030064, 12, 612, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 100, 0.941177368164063, 0.0229919, 23, 2346, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 484, 0.900482177734375, 0.4940075, 24, 11664, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 10, 1, 0.0010108, 60, 720, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 50, 0.890045166015625, 0.0229947, 80, 4160, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 100, 0.86865234375, 0.0680089, 66, 6732, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 200, 0.830718994140625, 0.328003, 79, 15958, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 12, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 20, 20, 0.0010003, 4, 88, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 30, 30, 0, 2, 64, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 40, 40, 0, 2, 84, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 50, 50, 0.0009996, 3, 156, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 36, 252, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 6, 72, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.003004, 51, 1122, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 26, 0.0029986, 34, 1088, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 34, 0.0039997, 26, 1092, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.0210044, 90, 4680, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 4, 0, 1, 12, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 8, 0, 1, 22, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 1, 32, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0039989, 26, 1092, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.005001, 23, 1196, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 25, 0.9534912109375, 0, 5, 135, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 49, 0.927703857421875, 0.0090022, 31, 1581, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 100, 0.929412841796875, 0.0369991, 39, 3978, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 484, 0.8956298828125, 1.5170003, 73, 35478, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 10, 1, 0, 40, 480, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 50, 0.884765625, 0.0200031, 68, 3536, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 100, 0.861526489257813, 0.1000021, 85, 8670, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 200, 0.835845947265625, 0.1759947, 43, 8686, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 12, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 20, 20, 0, 1, 22, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 32, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 40, 40, 0.0009995, 2, 84, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 50, 50, 0, 1, 52, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 30, 210, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0, 10, 120, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0029993, 59, 1298, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 26, 0, 4, 128, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0, 3, 126, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 44, 0.0109994, 46, 2392, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 4, 0, 1, 12, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 5, 110, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0, 4, 128, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0009972, 3, 126, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0139955, 60, 3120, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0019983, 36, 972, 
